[2021-09-14 10:30:35,342] - [root] - [ERROR] - UserID should be integer. (UVa_Crawler.py:11)
[2021-09-14 10:30:35,342] - [root] - [INFO] - Start Worker 2 (Master.py:68)
[2021-09-14 10:30:35,342] - [root] - [ERROR] - UserID should be integer. (UVa_Crawler.py:11)
[2021-09-14 10:30:35,342] - [root] - [INFO] - Start Worker 3 (Master.py:68)
[2021-09-14 10:30:35,343] - [root] - [ERROR] - ProblemNum should be integer (TIOJ_Crawler.py:15)
[2021-09-14 10:30:35,343] - [root] - [INFO] - Start Worker 4 (Master.py:68)
[2021-09-14 10:30:35,345] - [root] - [INFO] - Start Worker 5 (Master.py:68)
[2021-09-14 10:30:35,345] - [root] - [INFO] - Start Worker 6 (Master.py:68)
[2021-09-14 10:30:35,345] - [root] - [INFO] - Start Worker 7 (Master.py:68)
[2021-09-14 10:30:35,346] - [root] - [INFO] - Start Worker 8 (Master.py:68)
[2021-09-14 10:30:35,346] - [root] - [INFO] - Start Worker 9 (Master.py:68)
[2021-09-14 10:30:35,346] - [root] - [INFO] - Worker 0 Done. (Master.py:73)
[2021-09-14 10:30:35,346] - [root] - [INFO] - Worker 1 Done. (Master.py:73)
[2021-09-14 10:30:35,346] - [root] - [INFO] - Worker 2 Done. (Master.py:73)
[2021-09-14 10:30:35,347] - [root] - [INFO] - Worker 3 Done. (Master.py:73)
[2021-09-14 10:30:35,347] - [root] - [INFO] - Worker 4 Done. (Master.py:73)
[2021-09-14 10:30:35,347] - [root] - [INFO] - Worker 5 Done. (Master.py:73)
[2021-09-14 10:30:35,347] - [root] - [INFO] - Worker 6 Done. (Master.py:73)
[2021-09-14 10:30:35,347] - [root] - [INFO] - Worker 7 Done. (Master.py:73)
[2021-09-14 10:30:35,347] - [root] - [INFO] - Worker 8 Done. (Master.py:73)
[2021-09-14 10:30:35,347] - [root] - [INFO] - Worker 9 Done. (Master.py:73)
[2021-09-14 10:30:35,347] - [root] - [INFO] - All Workers Done. (Master.py:75)
[2021-09-14 10:31:37,544] - [root] - [INFO] - Start Worker 0 (Master.py:68)
[2021-09-14 10:31:37,545] - [root] - [INFO] - #UserID: 1002251 #ProblemNum: 1595. (UVa_Crawler.py:21)
[2021-09-14 10:31:37,545] - [root] - [INFO] - Start Worker 1 (Master.py:68)
[2021-09-14 10:31:37,545] - [root] - [INFO] - Fetching ProblemID ... (UVa_Crawler.py:26)
[2021-09-14 10:31:37,545] - [root] - [INFO] - #UserID: 1002251 #ProblemNum: 1585. (UVa_Crawler.py:21)
[2021-09-14 10:31:37,545] - [root] - [INFO] - Start Worker 2 (Master.py:68)
[2021-09-14 10:31:37,545] - [root] - [INFO] - Fetching ProblemID ... (UVa_Crawler.py:26)
[2021-09-14 10:31:37,546] - [root] - [INFO] - #UserID: 1002251 #ProblemNum: 1586. (UVa_Crawler.py:21)
[2021-09-14 10:31:37,546] - [root] - [INFO] - Start Worker 3 (Master.py:68)
[2021-09-14 10:31:37,546] - [root] - [INFO] - Fetching ProblemID ... (UVa_Crawler.py:26)
[2021-09-14 10:31:37,546] - [root] - [INFO] - #UserID: sa072686 #ProblemID: 1719 (TIOJ_Crawler.py:15)
[2021-09-14 10:31:37,546] - [root] - [INFO] - Start Worker 4 (Master.py:68)
[2021-09-14 10:31:37,547] - [root] - [INFO] - Start Worker 5 (Master.py:68)
[2021-09-14 10:31:37,547] - [root] - [INFO] - Start Worker 6 (Master.py:68)
[2021-09-14 10:31:37,547] - [root] - [INFO] - Start Worker 7 (Master.py:68)
[2021-09-14 10:31:37,548] - [root] - [INFO] - Start Worker 8 (Master.py:68)
[2021-09-14 10:31:37,548] - [root] - [INFO] - Start Worker 9 (Master.py:68)
[2021-09-14 10:31:37,896] - [root] - [INFO] - Successfully Get Submissions. (TIOJ_Crawler.py:25)
